target word, context entropy, partial-context entropy, no-context entropy, , top cosine, basic cosine, bottom cosine, , top overlap, basic overlap, bottom overlap
periphery,0.43667480237416534,0.5165974264336128,0.47291874913130133, ,0.9814639038631291,0.9626919206960015,0.9626919206960015, ,0.6470588235294118,0.6470588235294118,0.6470588235294118
tolerated,0.3240447085865607,0.42655217645880267,0.2597860487329774, ,0.921743600508556,0.8885977720801491,0.8885977720801491, ,0.6666666666666666,0.6862745098039216,0.6862745098039216
enraged,0.3201956183826739,0.41105160304145033,0.3811829221526669, ,0.8516767208793726,0.9805787735054283,0.9805787735054283, ,0.6274509803921569,0.8235294117647058,0.8235294117647058
expedition,0.4923081985890117,0.5774838490365466,0.5211890942338557, ,0.9697172630283981,0.9429735234215886,0.9429735234215886, ,0.7254901960784313,0.7058823529411765,0.7058823529411765
situated,0.41378377686420664,0.5369789344320163,0.4832517520655609, ,0.9638701551920718,0.9950289442947302,0.9950289442947302, ,0.6078431372549019,0.7843137254901961,0.7843137254901961
obligations,0.6168252955652501,0.6497974278039786,0.6187370614222093, ,0.8554495146674346,0.8959318429174741,0.8959318429174741, ,0.5294117647058824,0.6274509803921569,0.6274509803921569
ambiguous,0.424586219400984,0.4876862728564221,0.5125396265533546, ,0.9841709990942008,0.807713337189048,0.807713337189048, ,0.6470588235294118,0.5686274509803921,0.5686274509803921
ceded,0.4649167582294128,0.6654640911476657,0.5336947979739548, ,0.938692019449298,0.935649219258417,0.935649219258417, ,0.5098039215686274,0.6862745098039216,0.6862745098039216
siege,0.574481716057303,0.592964883406185,0.566585031995, ,0.9424125201187658,0.9522281997895218,0.9522281997895218, ,0.5686274509803921,0.6078431372549019,0.6078431372549019
leased,0.212840727805667,0.36792160774704197,0.288981454079728, ,0.9895937349882817,0.9992124419906997,0.9992124419906997, ,0.6862745098039216,0.7647058823529411,0.7647058823529411
sparse,0.47421708446319144,0.6000895836612534,0.548684172400214, ,0.9028776626333325,0.9845575983638165,0.9845575983638165, ,0.39215686274509803,0.7450980392156863,0.7450980392156863
incentives,0.6125935571125328,0.6904001862309626,0.6243129174470754, ,0.9471488592455675,0.9896318559560552,0.9896318559560552, ,0.5490196078431373,0.6666666666666666,0.6666666666666666
