Overlap, longevity, 0.1
jaccard, longevity, 0.08333333333333333
Kullback-Liebler, longevity, 0.0
Cosine, longevity, Infinity
Overlap, longevity, 0.1
jaccard, longevity, 0.08333333333333333
Kullback-Liebler, longevity, 0.0
Cosine, longevity, Infinity
Overlap, longevity, 0.1
jaccard, longevity, 0.08333333333333333
Kullback-Liebler, longevity, 0.0
Cosine, longevity, Infinity
Overlap, longevity, 0.1
jaccard, longevity, 0.08333333333333333
Kullback-Liebler, longevity, 0.0
Cosine, longevity, Infinity
Overlap, longevity, 0.1
jaccard, longevity, 0.08333333333333333
Kullback-Liebler, longevity, 0.0
Cosine, longevity, Infinity
Overlap, longevity, 0.1
jaccard, settled, 0.0
Kullback-Liebler, settled, 0.0
Cosine, settled, NaN
Overlap, settled, 0.0
jaccard, settled, 0.0
Kullback-Liebler, settled, 0.0
Cosine, settled, NaN
Overlap, settled, 0.0
jaccard, settled, 0.0
Kullback-Liebler, settled, 0.0
Cosine, settled, NaN
Overlap, settled, 0.0
jaccard, settled, 0.0
Kullback-Liebler, settled, 0.0
Cosine, settled, NaN
Overlap, settled, 0.0
jaccard, settled, 0.0
Kullback-Liebler, settled, 0.0
Cosine, settled, NaN
Overlap, settled, 0.0
jaccard, produced, 0.0
Kullback-Liebler, produced, 0.0
Cosine, produced, NaN
Overlap, produced, 0.0
jaccard, produced, 0.0
Kullback-Liebler, produced, 0.0
Cosine, produced, NaN
Overlap, produced, 0.0
jaccard, produced, 0.16666666666666666
Kullback-Liebler, produced, 0.11507282898071242
Cosine, produced, Infinity
Overlap, produced, 0.3
jaccard, produced, 0.16666666666666666
Kullback-Liebler, produced, 0.11507282898071242
Cosine, produced, Infinity
Overlap, produced, 0.3
jaccard, competitions, 0.1
Kullback-Liebler, competitions, -0.10986122886681096
Cosine, competitions, Infinity
Overlap, competitions, 0.1
jaccard, competitions, 0.1
Kullback-Liebler, competitions, -0.10986122886681096
Cosine, competitions, Infinity
Overlap, competitions, 0.1
jaccard, competitions, 0.1
Kullback-Liebler, competitions, -0.10986122886681096
Cosine, competitions, Infinity
Overlap, competitions, 0.1
jaccard, competitions, 0.1
Kullback-Liebler, competitions, -0.10986122886681096
Cosine, competitions, Infinity
Overlap, competitions, 0.1
jaccard, competitions, 0.1
Kullback-Liebler, competitions, -0.10986122886681096
Cosine, competitions, Infinity
Overlap, competitions, 0.1
jaccard, footballer, 0.0
Kullback-Liebler, footballer, 0.0
Cosine, footballer, NaN
Overlap, footballer, 0.0
jaccard, footballer, 0.0
Kullback-Liebler, footballer, 0.0
Cosine, footballer, NaN
Overlap, footballer, 0.0
jaccard, footballer, 0.0
Kullback-Liebler, footballer, 0.0
Cosine, footballer, NaN
Overlap, footballer, 0.0
jaccard, footballer, 0.0
Kullback-Liebler, footballer, 0.0
Cosine, footballer, NaN
Overlap, footballer, 0.0
jaccard, footballer, 0.0
Kullback-Liebler, footballer, 0.0
Cosine, footballer, NaN
Overlap, footballer, 0.0
jaccard, conceals, 0.5
Kullback-Liebler, conceals, 0.10536051565782635
Cosine, conceals, Infinity
Overlap, conceals, 0.9
jaccard, express, 0.0
Kullback-Liebler, express, 0.0
Cosine, express, NaN
Overlap, express, 0.0
jaccard, express, 0.0
Kullback-Liebler, express, 0.0
Cosine, express, NaN
Overlap, express, 0.0
jaccard, express, 0.0
Kullback-Liebler, express, 0.0
Cosine, express, NaN
Overlap, express, 0.0
jaccard, express, 0.0
Kullback-Liebler, express, 0.0
Cosine, express, NaN
Overlap, express, 0.0
